JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;7277;4.659;7.474;0.705;61;9.9;0.01030;3.071;
J INFORMETR;1751-1577;943;4.153;3.987;0.771;70;2.6;0.00476;1.221;
J AM MED INFORM ASSN;1067-5027;5012;3.571;3.959;0.925;186;6.2;0.01317;1.333;
J INF TECHNOL;0268-3962;1165;3.532;3.801;1.263;19;6.5;0.00320;1.347;
INFORM TECHNOL MANAG;1385-951X;247;3.025;2.261;0.226;31;2.1;0.00060;0.372;
ANNU REV INFORM SCI;0066-4200;380;2.174;2.590;;;8.0;0.00114;1.067;
SCIENTOMETRICS;0138-9130;4555;2.133;2.207;0.449;254;6.5;0.00931;0.599;
J HEALTH COMMUN;1081-0730;1614;2.079;2.307;0.232;112;5.8;0.00503;0.818;
INFORM SYST RES;1047-7047;3443;2.010;3.638;0.446;74;>10.0;0.00583;1.885;
J AM SOC INF SCI TEC;1532-2882;4613;2.005;2.159;0.321;184;6.8;0.01252;0.765;
GOV INFORM Q;0740-624X;835;1.910;2.263;0.493;71;4.5;0.00184;0.438;
INT J INFORM MANAGE;0268-4012;970;1.843;1.898;0.086;58;6.0;0.00219;0.494;
J COMPUT-MEDIAT COMM;1083-6101;1868;1.778;4.748;0.188;32;5.8;0.00787;2.029;
INT J COMP-SUPP COLL;1556-1607;377;1.717;2.904;0.280;25;4.4;0.00137;0.755;
INFORM MANAGE-AMSTER;0378-7206;3091;1.663;3.178;0.083;36;8.3;0.00396;0.876;
INT J GEOGR INF SCI;1365-8816;2284;1.613;1.984;0.268;112;8.5;0.00375;0.560;
TELECOMMUN POLICY;0308-5961;961;1.594;1.672;0.466;73;5.5;0.00177;0.353;
EUR J INFORM SYST;0960-085X;1268;1.558;2.422;0.421;38;6.3;0.00352;0.875;
J STRATEGIC INF SYST;0963-8687;743;1.500;2.433;0.550;20;8.9;0.00111;0.653;
J KNOWL MANAG;1367-3270;1392;1.474;;0.179;56;7.3;0.00177;;
