JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
LIBR INFORM SCI RES;0740-8188;526;1.400;1.520;0.139;36;6.8;0.00154;0.594;
INFORM ORGAN-UK;1471-7727;261;1.381;;0.400;15;6.2;0.00090;;
INFORM SYST J;1350-1917;696;1.381;2.376;1.238;21;7.2;0.00161;0.846;
SOC SCI COMPUT REV;0894-4393;628;1.303;1.448;0.324;37;7.3;0.00207;0.718;
J MANAGE INFORM SYST;0742-1222;2645;1.262;2.780;0.033;30;9.8;0.00327;0.937;
J INF SCI;0165-5515;827;1.238;1.384;0.146;41;6.6;0.00208;0.477;
LEARN PUBL;0953-1513;208;1.182;0.863;0.194;31;4.5;0.00101;0.415;
MIS Q EXEC;1540-1960;189;1.143;;0.250;16;5.8;0.00079;;
J DOC;0022-0418;907;1.138;1.333;0.326;43;9.6;0.00177;0.476;
INFORM SOC;0197-2243;561;1.114;1.389;0.211;19;8.5;0.00115;0.581;
RES EVALUAT;0958-2029;411;1.074;1.272;0.206;34;5.8;0.00115;0.406;
KNOWL MAN RES PRACT;1477-8238;240;1.069;;0.067;30;4.6;0.00051;;
J ASSOC INF SYST;1536-9323;751;1.048;2.766;0.292;24;5.7;0.00306;1.136;
COLL RES LIBR;0010-0870;441;1.016;0.923;0.133;30;8.6;0.00117;0.434;
J MED LIBR ASSOC;1536-5050;627;0.976;0.992;0.212;52;6.5;0.00127;0.309;
LIBR RESOUR TECH SER;0024-2527;131;0.969;0.680;0.176;17;4.8;0.00031;0.176;
ONLINE INFORM REV;1468-4527;480;0.939;1.277;0.163;49;4.5;0.00150;0.329;
J GLOB INF TECH MAN;1097-198X;117;0.917;;0.000;12;6.4;0.00014;;
J ACAD LIBR;0099-1333;561;0.885;0.864;0.091;44;6.4;0.00181;0.353;
ETHICS INF TECHNOL;1388-1957;227;0.846;;0.160;25;7.0;0.00058;;
INFORM PROCESS MANAG;0306-4573;1681;0.817;1.388;0.210;81;8.1;0.00367;0.534;
INFORM TECHNOL PEOPL;0959-3845;322;0.767;;0.000;18;8.1;0.00059;;
LIBR QUART;0024-2519;267;0.743;0.835;0.053;19;>10.0;0.00057;0.334;
ELECTRON LIBR;0264-0473;257;0.667;0.642;0.020;50;4.3;0.00070;0.136;
HEALTH INFO LIBR J;1471-1834;364;0.662;1.230;0.686;35;5.2;0.00108;0.337;
LIBR HI TECH;0737-8831;255;0.621;0.659;0.136;44;4.8;0.00085;0.209;
INFORM TECHNOL LIBR;0730-9295;92;0.595;0.484;;;;0.00039;0.243;
SERIALS REV;0098-7913;109;0.524;0.642;0.111;27;4.9;0.00035;0.191;
INFORM RES;1368-1613;400;0.520;0.677;;;6.1;0.00136;0.277;
AUST ACAD RES LIBR;0004-8623;58;0.512;;0.059;17;;0.00017;;
REV ESP DOC CIENT;0210-0614;88;0.453;;0.154;26;;0.00020;;
J GLOB INF MANAG;1062-7375;335;0.452;1.179;0.071;14;7.6;0.00028;0.192;
PROF INFORM;1386-6710;176;0.439;0.375;0.061;82;3.5;0.00049;0.076;
ASLIB PROC;0001-253X;248;0.432;0.696;0.081;37;5.5;0.00100;0.311;
MALAYS J LIBR INF SC;1394-6234;66;0.423;0.450;0.050;20;;0.00022;0.128;
KNOWL ORGAN;0943-7444;102;0.407;0.468;0.029;35;5.9;0.00015;0.080;
PORTAL-LIBR ACAD;1531-2542;183;0.400;0.589;0.211;19;6.6;0.00061;0.283;
LIBR J;0363-0277;340;0.397;0.284;0.413;63;7.4;0.00091;0.127;
SCIENTIST;0890-3670;244;0.387;0.230;0.220;41;7.2;0.00065;0.107;
INFORM TECHNOL DEV;0268-1102;131;0.378;;0.050;20;5.3;0.00022;;
PROGRAM-ELECTRON LIB;0033-0337;179;0.377;0.409;0.143;21;>10.0;0.00035;0.152;
INFORM DEV;0266-6669;74;0.375;;0.160;25;;0.00016;;
RESTAURATOR;0034-5806;200;0.375;0.590;0.059;17;>10.0;0.00014;0.099;
LIBRI;0024-2667;125;0.368;0.356;0.000;29;7.8;0.00033;0.142;
DATA BASE ADV INF SY;0095-0033;323;0.341;;0.000;15;8.9;0.00043;;
ONLINE;0146-5422;138;0.341;0.229;0.027;37;9.2;0.00030;0.090;
J LIBR INF SCI;0961-0006;109;0.286;0.602;0.000;23;6.2;0.00035;0.225;
LIBR TRENDS;0024-2594;357;0.273;0.344;0.051;39;>10.0;0.00052;0.139;
J SCHOLARLY PUBL;1198-9742;61;0.250;0.352;0.043;23;;0.00020;0.109;
J ORGAN END USER COM;1546-2234;71;0.243;;;;;0.00017;;
AUST LIBR J;0004-9670;45;0.239;;0.000;22;;0.00015;;
INTERLEND DOC SUPPLY;0264-1615;65;0.231;0.168;0.467;30;;0.00011;0.040;
LIBR COLLECT ACQUIS;1464-9055;100;0.185;0.737;0.000;15;5.2;0.00038;0.286;
CAN J INFORM LIB SCI;1195-096X;41;0.171;0.200;0.000;8;;0.00009;0.075;
SOC SCI INFORM;0539-0184;512;0.167;0.593;0.241;29;>10.0;0.00068;0.279;
TRANSINFORMACAO;0103-3786;27;0.167;;0.000;18;;0.00011;;
LIBR CULT REC;1932-4855;15;0.158;0.152;;0;;0.00005;0.029;
INFORM SOC-ESTUD;0104-0146;23;0.155;;0.000;38;;0.00010;;
ECONTENT;1525-2531;28;0.127;0.092;0.000;27;;0.00009;0.028;
AFR J LIBR ARCH INFO;0795-4778;28;0.111;0.205;0.000;13;;0.00010;0.075;
PERSPECT CIENC INF;1413-9936;45;0.101;;0.118;34;;0.00015;;
Z BIBL BIBL;0044-2380;9;0.070;0.027;0.050;20;;0.00000;0.000;
INVESTIG BIBLIOTECOL;0187-358X;20;0.062;0.063;0.000;24;;0.00001;0.005;
LIBR INFORM SC;0373-4447;4;0.050;0.020;0.000;3;;0.00000;0.000;
INF TARSAD;1587-8694;1;0.000;0.000;;;;0.00000;0.000;

