JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;7419;5.041;9.821;0.737;38;9.8;0.00926;2.760;
INFORM SYST RES;1047-7047;3517;3.358;5.458;0.241;54;9.5;0.00470;2.020;
J INFORMETR;1751-1577;397;3.119;3.586;0.667;63;2.5;0.00193;1.007;
J AM MED INFORM ASSN;1067-5027;3619;3.088;3.941;0.591;115;5.8;0.01257;1.417;
J INF TECHNOL;0268-3962;1083;2.907;3.447;0.786;28;6.7;0.00211;0.824;
J STRATEGIC INF SYST;0963-8687;910;2.900;3.795;0.286;21;8.2;0.00103;0.683;
J MANAGE INFORM SYST;0742-1222;3080;2.662;4.054;0.633;30;9.0;0.00458;1.164;
INFORM MANAGE-AMSTER;0378-7206;3273;2.627;3.901;0.238;42;6.9;0.00506;0.831;
J ASSOC INF SYST;1536-9323;579;2.217;;0.062;32;4.2;0.00243;;
INFORM SYST J;1350-1917;695;2.184;3.020;0.857;21;6.5;0.00138;0.720;
J AM SOC INF SCI TEC;1532-2882;4202;2.137;2.113;0.354;178;7.4;0.01024;0.614;
ANNU REV INFORM SCI;0066-4200;428;2.000;2.354;;0;7.4;0.00142;1.125;
J COMPUT-MEDIAT COMM;1083-6101;1482;1.958;3.279;0.212;33;4.9;0.00632;1.164;
SCIENTOMETRICS;0138-9130;3602;1.905;2.415;0.173;226;6.4;0.00785;0.583;
GOV INFORM Q;0740-624X;650;1.878;2.177;0.312;48;4.2;0.00156;0.406;
EUR J INFORM SYST;0960-085X;1071;1.767;2.210;0.326;43;5.7;0.00264;0.549;
INFORM PROCESS MANAG;0306-4573;1936;1.673;1.786;0.411;56;7.2;0.00527;0.588;
INT J INFORM MANAGE;0268-4012;860;1.564;1.779;0.220;59;6.7;0.00129;0.325;
MIS Q EXEC;1540-1960;269;1.562;;0.474;19;4.9;0.00100;;
J HEALTH COMMUN;1081-0730;1194;1.500;2.555;0.323;93;5.2;0.00475;0.900;
INT J GEOGR INF SCI;1365-8816;1931;1.489;2.162;0.231;91;8.9;0.00293;0.508;
INT J COMP-SUPP COLL;1556-1607;160;1.487;2.026;0.111;18;3.4;0.00055;0.371;
J DOC;0022-0418;995;1.447;1.407;0.273;44;>10.0;0.00174;0.462;
J INF SCI;0165-5515;923;1.406;1.860;0.180;50;6.2;0.00208;0.453;
LIBR INFORM SCI RES;0740-8188;444;1.362;1.248;0.286;28;7.2;0.00103;0.387;
INFORM SOC;0197-2243;615;1.240;1.714;0.000;27;7.4;0.00139;0.538;
J GLOB INF MANAG;1062-7375;285;1.222;1.829;0.000;16;5.9;0.00055;0.345;
LEARN PUBL;0953-1513;173;1.037;0.669;0.438;32;4.2;0.00071;0.253;
ONLINE INFORM REV;1468-4527;311;0.991;0.975;0.116;43;3.8;0.00151;0.325;
TELECOMMUN POLICY;0308-5961;635;0.963;1.165;0.081;62;6.6;0.00143;0.322;
RES EVALUAT;0958-2029;270;0.939;1.071;0.129;31;5.0;0.00101;0.372;
SOC SCI COMPUT REV;0894-4393;550;0.913;1.202;0.194;31;7.3;0.00143;0.427;
LAW LIBR J;0023-9283;176;0.898;0.497;0.194;31;6.6;0.00008;0.028;
J ACAD LIBR;0099-1333;561;0.870;0.909;0.054;56;5.8;0.00237;0.385;
PORTAL-LIBR ACAD;1531-2542;208;0.870;1.008;0.143;21;5.2;0.00134;0.529;
KNOWL MAN RES PRACT;1477-8238;172;0.855;;0.071;28;4.2;0.00037;;
J MED LIBR ASSOC;1536-5050;526;0.844;1.283;0.238;42;4.9;0.00234;0.443;
INFORM RES;1368-1613;429;0.822;0.863;0.125;56;5.2;0.00127;0.242;
HEALTH INFO LIBR J;1471-1834;301;0.761;0.940;0.595;42;4.0;0.00095;0.243;
INFORM TECHNOL MANAG;1385-951X;102;0.727;;0.000;13;3.7;0.00048;;
SERIALS REV;0098-7913;119;0.707;0.582;0.100;20;4.8;0.00047;0.222;
COLL RES LIBR;0010-0870;491;0.683;0.902;0.152;33;9.0;0.00154;0.518;
LIBR TRENDS;0024-2594;442;0.667;0.588;0.083;36;9.1;0.00119;0.283;
LIBR QUART;0024-2519;256;0.651;0.738;0.222;18;9.8;0.00090;0.435;
J LIBR INF SCI;0961-0006;92;0.636;0.542;0.000;21;;0.00034;0.209;
ASLIB PROC;0001-253X;249;0.600;0.719;0.026;38;5.7;0.00089;0.248;
PROGRAM-ELECTRON LIB;0033-0337;250;0.596;0.519;0.038;26;>10.0;0.00044;0.171;
SOC SCI INFORM;0539-0184;445;0.550;0.629;0.760;25;>10.0;0.00041;0.169;
LIBR COLLECT ACQUIS;1464-9055;79;0.529;0.392;0.154;13;;0.00032;0.171;
INFORM TECHNOL LIBR;0730-9295;104;0.528;0.639;0.050;20;4.9;0.00049;0.260;
ONLINE;0146-5422;161;0.522;0.453;0.184;49;5.6;0.00057;0.171;
J SCHOLARLY PUBL;1198-9742;69;0.521;0.388;0.500;20;;0.00024;0.127;
ELECTRON LIBR;0264-0473;212;0.489;0.535;0.035;57;4.4;0.00088;0.151;
REV ESP DOC CIENT;0210-0614;80;0.489;;0.038;26;;0.00015;;
AUST ACAD RES LIBR;0004-8623;53;0.457;0.886;0.062;16;;0.00026;0.385;
LIBR HI TECH;0737-8831;182;0.413;;0.065;31;4.9;0.00116;;
PROF INFORM;1386-6710;111;0.375;;0.141;64;2.6;0.00029;;
RESTAURATOR;0034-5806;183;0.375;0.505;0.000;18;9.7;0.00018;0.100;
LIBRI;0024-2667;121;0.365;0.368;0.034;29;8.3;0.00019;0.083;
MALAYS J LIBR INF SC;1394-6234;42;0.353;;0.042;24;;0.00008;;
REF USER SERV Q;1094-9054;104;0.338;0.378;0.038;26;5.5;0.00039;0.135;
INTERLEND DOC SUPPLY;0264-1615;71;0.308;0.250;0.543;35;;0.00021;0.070;
SCIENTIST;0890-3670;245;0.252;0.210;0.661;59;5.0;0.00080;0.071;
LIBR RESOUR TECH SER;0024-2527;100;0.239;0.351;0.250;16;6.7;0.00028;0.132;
LIBR J;0363-0277;322;0.191;0.240;0.288;59;7.0;0.00116;0.117;
PERSPECT CIENC INF;1981-5344;75;0.178;;0.026;39;;0.00011;;
INFORM DEV;1741-6469;49;0.143;;0.000;23;;0.00016;;
AFR J LIBR ARCH INFO;0795-4778;31;0.129;;0.000;14;;0.00007;;
ECONTENT;1525-2531;37;0.068;0.093;0.000;32;;0.00022;0.051;
INFORM SOC-ESTUD;0104-0146;29;0.068;;0.029;34;;0.00009;;
INF TARSAD;1587-8694;10;0.057;;0.000;10;;0.00000;;
TRANSINFORMACAO;0103-3786;39;0.050;;0.000;6;;0.00008;;
LIBR INFORM SC;0373-4447;8;0.045;0.122;0.000;4;;0.00008;0.099;
Z BIBL BIBL;0044-2380;17;0.023;0.043;0.000;22;;0.00001;0.003;
CAN J INFORM LIB SCI;1195-096X;37;0.000;0.119;0.000;16;;0.00006;0.050;
INVESTIG BIBLIOTECOL;0187-358X;15;0.000;;0.000;8;;0.00012;;
LIBR CULT REC;1932-4855;4;0.000;0.041;0.000;17;;0.00017;0.117;

