JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AUST LIBR J;0004-9670;82;0.275;;0.065;31;;0.00012;;
LIBR J;0363-0277;276;0.266;0.178;0.347;72;9.0;0.00067;0.085;
LIBRI;0024-2667;128;0.259;0.373;0.107;28;6.9;0.00038;0.163;
INFORM TECHNOL LIBR;0730-9295;76;0.250;0.398;0.000;17;;0.00029;0.170;
REF USER SERV Q;1094-9054;110;0.228;0.395;0.071;14;5.6;0.00047;0.176;
CAN J INFORM LIB SCI;1195-096X;57;0.222;0.207;0.000;19;;0.00010;0.091;
RESTAURATOR;0034-5806;139;0.206;0.310;0.143;14;>10.0;0.00008;0.053;
INFORM DEV;0266-6669;55;0.205;;0.000;25;;0.00016;;
INFORM TECHNOL MANAG;1385-951X;124;0.138;;0.000;27;5.7;0.00048;;
PERSPECT CIENC INF;1981-5344;59;0.106;;0.000;50;;0.00018;;
AFR J LIBR ARCH INFO;0795-4778;25;0.103;;0.154;13;;0.00003;;
INVESTIG BIBLIOTECOL;0187-358X;12;0.083;;0.000;16;;0.00002;;
TRANSINFORMACAO;0103-3786;28;0.083;;0.000;18;;0.00009;;
Z BIBL BIBL;0044-2380;6;0.071;0.034;0.000;21;;0.00000;0.002;
ECONTENT;1525-2531;10;0.053;0.039;0.000;31;;0.00003;0.008;
LIBR INFORM SC;0373-4447;9;0.040;0.083;0.000;3;;0.00001;0.014;
INFORM SOC-ESTUD;0104-0146;26;0.015;;0.000;37;;0.00006;;

