JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;6186;4.485;9.208;0.579;38;>10.0;0.00958;2.894;
J AM MED INFORM ASSN;1067-5027;4183;3.974;5.199;0.705;105;5.7;0.01361;1.583;
J COMPUT-MEDIAT COMM;1083-6101;1279;3.639;;0.017;60;4.6;0.00454;;
J INFORMETR;1751-1577;253;3.379;3.379;0.909;33;2.1;0.00149;1.086;
ANNU REV INFORM SCI;0066-4200;563;2.929;3.030;1.200;10;6.9;0.00151;1.080;
INT J COMP-SUPP COLL;1556-1607;229;2.692;3.655;0.579;19;3.0;0.00046;0.382;
J AM SOC INF SCI TEC;1532-2882;5167;2.300;2.480;0.379;203;8.0;0.01065;0.673;
INFORM MANAGE-AMSTER;0378-7206;3276;2.282;4.297;0.268;56;6.6;0.00641;0.933;
J ASSOC INF SYST;1536-9323;430;2.246;;0.097;31;4.4;0.00222;;
SCIENTOMETRICS;0138-9130;3508;2.167;2.793;0.328;189;6.2;0.00752;0.608;
GOV INFORM Q;0740-624X;598;2.098;2.255;0.293;58;4.5;0.00108;0.316;
J MANAGE INFORM SYST;0742-1222;2650;2.098;3.215;0.000;38;8.7;0.00446;1.072;
J INF TECHNOL;0268-3962;879;2.049;2.664;0.321;28;6.9;0.00190;0.695;
INFORM SYST RES;1047-7047;3037;1.792;4.893;0.679;28;9.5;0.00436;1.871;
INFORM PROCESS MANAG;0306-4573;2412;1.783;2.106;0.264;53;8.5;0.00561;0.582;
J INF SCI;0165-5515;939;1.706;1.996;0.149;47;6.0;0.00287;0.592;
INT J GEOGR INF SCI;1365-8816;1997;1.533;2.303;0.371;70;9.1;0.00279;0.507;
HEALTH INFO LIBR J;1471-1834;330;1.521;;0.800;30;3.8;0.00115;;
ONLINE INFORM REV;1468-4527;324;1.423;1.111;0.094;64;3.4;0.00102;0.225;
INFORM SYST J;1350-1917;598;1.419;2.511;0.583;24;7.2;0.00126;0.656;
J DOC;0022-0418;1063;1.405;1.601;0.143;42;>10.0;0.00186;0.489;
J HEALTH COMMUN;1081-0730;1010;1.344;2.434;0.133;60;5.1;0.00441;0.822;
LIBR INFORM SCI RES;0740-8188;504;1.236;1.418;0.107;28;8.1;0.00118;0.424;
INFORM TECHNOL MANAG;1385-951X;73;1.222;;0.000;16;;0.00040;;
INFORM SOC;0197-2243;603;1.111;1.726;0.125;24;6.9;0.00184;0.655;
J ACAD LIBR;0099-1333;594;1.000;0.925;0.073;55;6.0;0.00184;0.278;
TELECOMMUN POLICY;0308-5961;725;0.969;1.418;0.038;53;6.6;0.00174;0.379;
RES EVALUAT;0958-2029;243;0.963;1.160;0.025;40;5.5;0.00071;0.286;
SERIALS REV;0098-7913;146;0.952;;0.091;22;4.4;0.00076;;
PORTAL-LIBR ACAD;1531-2542;221;0.896;1.086;0.032;31;5.0;0.00092;0.345;
J MED LIBR ASSOC;1536-5050;516;0.889;1.369;0.273;44;4.4;0.00247;0.425;
LIBR QUART;0024-2519;320;0.857;0.854;0.100;20;>10.0;0.00054;0.251;
COLL RES LIBR;0010-0870;556;0.855;1.087;0.067;30;9.7;0.00123;0.395;
INT J INFORM MANAGE;0268-4012;575;0.723;1.243;0.000;43;6.8;0.00094;0.238;
LEARN PUBL;0953-1513;145;0.722;0.497;0.567;30;4.6;0.00067;0.210;
J GLOB INF MANAG;1062-7375;227;0.706;;0.053;19;5.3;0.00076;;
SOC SCI COMPUT REV;0894-4393;502;0.635;1.068;0.056;36;7.0;0.00182;0.493;
INFORM TECHNOL LIBR;0730-9295;121;0.618;0.696;0.000;20;4.9;0.00059;0.276;
SOC SCI INFORM;0539-0184;463;0.604;0.783;0.074;27;>10.0;0.00068;0.271;
ASLIB PROC;0001-253X;223;0.595;0.582;0.028;36;6.2;0.00059;0.153;
J LIBR INF SCI;0961-0006;139;0.581;0.617;0.067;15;7.9;0.00035;0.206;
KNOWL ORGAN;0943-7444;112;0.552;0.614;0.000;4;6.7;0.00027;0.185;
ELECTRON LIBR;0264-0473;201;0.544;0.509;0.000;71;4.1;0.00044;0.077;
MALAYS J LIBR INF SC;1394-6234;75;0.533;;0.222;18;;0.00005;;
REF USER SERV Q;1094-9054;128;0.533;0.507;0.000;31;5.5;0.00052;0.175;
INFORM RES;1368-1613;501;0.490;1.108;0.121;33;5.5;0.00158;0.284;
PROF INFORM;1386-6710;121;0.478;;0.070;71;2.7;0.00032;;
LIBR RESOUR TECH SER;0024-2527;159;0.444;0.613;0.087;23;9.3;0.00051;0.219;
LIBR COLLECT ACQUIS;1464-9055;80;0.429;0.496;0.000;14;;0.00043;0.177;
INTERLEND DOC SUPPLY;0264-1615;111;0.403;0.391;0.824;34;3.2;0.00021;0.066;
RESTAURATOR;0034-5806;141;0.400;0.480;0.000;16;8.2;0.00013;0.065;
LIBR TRENDS;0024-2594;455;0.393;0.566;0.065;31;9.2;0.00086;0.175;
LAW LIBR J;0023-9283;197;0.385;0.442;0.704;27;7.4;0.00011;0.035;
PROGRAM-ELECTRON LIB;0033-0337;262;0.385;0.349;0.000;27;>10.0;0.00029;0.112;
LIBR J;0363-0277;444;0.343;0.322;0.215;65;6.9;0.00177;0.144;
SCIENTIST;0890-3670;374;0.310;0.272;1.436;39;4.4;0.00163;0.104;
ONLINE;0146-5422;108;0.300;0.355;0.088;34;5.1;0.00048;0.138;
LIBR HI TECH;0737-8831;166;0.272;;0.222;45;5.7;0.00071;;
J SCHOLARLY PUBL;1198-9742;32;0.237;0.181;0.087;23;;0.00010;0.051;
LIBRI;0024-2667;130;0.160;0.376;0.040;25;8.2;0.00033;0.133;
AFR J LIBR ARCH INFO;0795-4778;16;0.129;;0.000;15;;0.00002;;
INVESTIG BIBLIOTECOL;0187-358X;11;0.125;;0.000;16;;0.00001;;
LIBR INFORM SC;0373-4447;8;0.125;0.129;0.000;7;;0.00000;0.000;
ECONTENT;1525-2531;47;0.079;0.139;0.068;44;;0.00024;0.049;
Z BIBL BIBL;0044-2380;7;0.040;0.051;0.050;20;;0.00003;0.012;
CAN J INFORM LIB SCI;1195-096X;60;0.000;0.200;0.000;11;;0.00006;0.046;

