JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;4329;5.826;9.257;0.533;30;9.4;0.01128;3.567;
J AM MED INFORM ASSN;1067-5027;2394;3.094;3.489;0.699;93;5.2;0.00948;1.096;
INFORM SYST RES;1047-7047;2146;2.682;6.579;0.130;23;8.3;0.00766;3.079;
ANNU REV INFORM SCI;0066-4200;378;1.963;2.810;0.533;15;6.1;0.00137;0.934;
J MANAGE INFORM SYST;0742-1222;1861;1.867;3.229;0.175;40;7.7;0.00571;1.307;
J HEALTH COMMUN;1081-0730;709;1.836;2.021;0.136;44;4.0;0.00433;0.773;
INT J GEOGR INF SCI;1365-8816;1410;1.822;2.068;0.186;59;8.4;0.00318;0.619;
INFORM MANAGE-AMSTER;0378-7206;1833;1.631;2.756;0.127;55;6.0;0.00687;0.891;
J INF TECHNOL;0268-3962;477;1.605;2.045;0.086;35;6.3;0.00201;0.785;
INFORM SYST J;1350-1917;380;1.531;2.085;0.611;18;6.2;0.00108;0.564;
INFORM PROCESS MANAG;0306-4573;1441;1.500;1.639;0.211;109;7.9;0.00418;0.545;
SCIENTOMETRICS;0138-9130;1515;1.472;1.538;0.147;129;5.7;0.00445;0.380;
J AM SOC INF SCI TEC;1532-2882;3026;1.436;1.840;0.409;186;7.7;0.00864;0.620;
J MED LIBR ASSOC;1536-5050;388;1.392;1.368;0.548;62;2.9;0.00199;0.332;
J DOC;0022-0418;714;1.309;1.392;0.316;19;9.7;0.00211;0.573;
J GLOB INF MANAG;1062-7375;93;1.241;;0.000;17;;0.00053;;
J COMPUT-MEDIAT COMM;1083-6101;501;1.232;;0.222;72;6.4;0.00183;;
J INF SCI;0165-5515;448;1.080;1.018;0.146;48;5.8;0.00186;0.363;
INFORM RES;1368-1613;291;1.027;1.309;0.100;40;3.8;0.00171;0.446;
PORTAL-LIBR ACAD;1531-2542;159;0.885;0.873;0.000;25;3.9;0.00152;0.395;
LIBR INFORM SCI RES;0740-8188;367;0.870;1.239;0.080;25;7.0;0.00151;0.557;
COLL RES LIBR;0010-0870;474;0.820;1.067;0.031;32;8.7;0.00178;0.511;
GOV INFORM Q;0740-624X;189;0.810;0.893;0.095;42;4.6;0.00050;0.163;
LAW LIBR J;0023-9283;268;0.789;0.687;0.488;43;6.9;0.00030;0.088;
SERIALS REV;0098-7913;112;0.761;;0.391;23;3.5;0.00076;;
LEARN PUBL;0953-1513;129;0.738;0.563;0.400;30;3.3;0.00082;0.200;
INFORM SOC;0197-2243;377;0.719;1.287;0.158;19;5.9;0.00202;0.579;
ONLINE INFORM REV;1468-4527;143;0.671;0.588;0.106;47;3.5;0.00086;0.191;
LIBR RESOUR TECH SER;0024-2527;113;0.628;0.573;0.000;22;6.3;0.00036;0.160;
TELECOMMUN POLICY;0308-5961;314;0.593;0.843;0.048;42;5.7;0.00152;0.333;
HEALTH INFO LIBR J;1471-1834;116;0.592;;0.056;36;2.9;0.00048;;
LIBR QUART;0024-2519;281;0.556;0.901;0.368;19;>10.0;0.00069;0.328;
J ACAD LIBR;0099-1333;363;0.551;0.673;0.068;73;5.6;0.00190;0.290;
INTERLEND DOC SUPPLY;0264-1615;83;0.533;0.318;0.806;31;;0.00009;0.027;
SOC SCI INFORM;0539-0184;251;0.523;0.522;0.200;20;>10.0;0.00052;0.200;
INT J INFORM MANAGE;0268-4012;313;0.451;0.851;0.000;32;6.3;0.00111;0.284;
ASLIB PROC;0001-253X;166;0.413;0.483;0.069;29;5.8;0.00075;0.181;
RES EVALUAT;0958-2029;111;0.413;0.580;0.000;19;5.8;0.00051;0.220;
J LIBR INF SCI;0961-0006;109;0.405;0.671;0.000;13;5.8;0.00053;0.270;
SOC SCI COMPUT REV;0894-4393;325;0.405;0.873;0.067;30;6.0;0.00140;0.332;
ONLINE;0146-5422;77;0.368;0.271;0.027;37;;0.00052;0.124;
LIBR TRENDS;0024-2594;278;0.333;0.609;0.014;69;6.3;0.00116;0.232;
INFORM TECHNOL LIBR;0730-9295;80;0.326;0.390;0.000;18;;0.00037;0.134;
SCIENTIST;0890-3670;283;0.322;0.170;0.341;123;2.8;0.00156;0.061;
LIBR J;0363-0277;369;0.295;0.216;0.343;105;5.9;0.00190;0.118;
LIBRI;0024-2667;57;0.286;0.218;0.000;23;;0.00021;0.075;
KNOWL ORGAN;0943-7444;76;0.280;0.544;0.100;10;;0.00021;0.130;
RESTAURATOR;0034-5806;249;0.275;0.728;0.091;11;8.3;0.00033;0.138;
LIBR INFORM SC;0373-4447;10;0.273;0.261;0.000;2;;0.00007;0.123;
J SCHOLARLY PUBL;1198-9742;30;0.270;0.224;0.000;13;;0.00025;0.128;
LIBR COLLECT ACQUIS;1464-9055;45;0.250;0.211;0.000;7;;0.00035;0.099;
ELECTRON LIBR;0264-0473;95;0.228;0.279;0.000;54;;0.00040;0.069;
ECONTENT;1525-2531;47;0.196;0.111;0.111;45;;0.00028;0.041;
REF USER SERV Q;1094-9054;88;0.175;0.293;0.000;26;;0.00044;0.129;
PROGRAM-ELECTRON LIB;0033-0337;168;0.111;0.226;0.000;27;>10.0;0.00016;0.059;
Z BIBL BIBL;0044-2380;6;0.000;0.028;0.037;27;;0.00000;0.001;

