JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
INFORM SOC;0197-2243;487;1.042;1.554;0.115;26;6.3;0.00151;0.490;
INFORM RES;1368-1613;429;1.000;1.445;0.079;89;4.9;0.00153;0.379;
RES EVALUAT;0958-2029;212;1.000;1.116;0.192;26;5.0;0.00065;0.263;
HEALTH INFO LIBR J;1471-1834;187;0.939;;0.027;37;3.4;0.00074;;
COLL RES LIBR;0010-0870;556;0.781;1.164;0.167;30;9.1;0.00187;0.579;
SOC SCI COMPUT REV;0894-4393;360;0.714;1.039;0.061;33;5.9;0.00159;0.402;
INFORM TECHNOL LIBR;0730-9295;98;0.703;0.549;0.000;16;;0.00052;0.208;
LIBR RESOUR TECH SER;0024-2527;158;0.698;0.594;0.043;23;9.5;0.00051;0.219;
J ACAD LIBR;0099-1333;503;0.667;0.675;0.170;53;6.8;0.00177;0.264;
J LIBR INF SCI;0961-0006;95;0.562;0.617;0.056;18;;0.00042;0.233;
LEARN PUBL;0953-1513;102;0.559;0.435;0.250;24;4.1;0.00058;0.154;
ASLIB PROC;0001-253X;196;0.493;0.462;0.051;39;6.8;0.00052;0.135;
INTERLEND DOC SUPPLY;0264-1615;92;0.484;0.365;0.742;31;;0.00014;0.041;
J SCHOLARLY PUBL;1198-9742;38;0.455;0.277;0.080;25;;0.00018;0.097;
KNOWL ORGAN;0943-7444;128;0.429;1.072;0.067;15;5.7;0.00026;0.172;
PROF INFORM;1386-6710;85;0.400;;0.068;73;;0.00008;;
ELECTRON LIBR;0264-0473;161;0.393;0.417;0.000;60;4.5;0.00046;0.078;
LIBR J;0363-0277;365;0.388;0.277;0.324;108;4.9;0.00166;0.120;
SERIALS REV;0098-7913;112;0.383;;0.368;19;4.8;0.00044;;
LIBR COLLECT ACQUIS;1464-9055;85;0.364;0.388;0.000;15;;0.00056;0.188;
LIBR QUART;0024-2519;287;0.364;0.823;0.087;23;>10.0;0.00059;0.276;
SCIENTIST;0890-3670;311;0.353;0.181;0.538;80;3.7;0.00172;0.083;
ONLINE;0146-5422;89;0.352;0.305;0.000;33;;0.00033;0.084;
LIBR HI TECH;0737-8831;109;0.344;;0.043;47;3.8;0.00084;;
SOC SCI INFORM;0539-0184;295;0.341;0.561;0.030;33;>10.0;0.00054;0.226;
REF USER SERV Q;1094-9054;105;0.339;0.407;0.088;34;5.2;0.00044;0.143;
LAW LIBR J;0023-9283;217;0.296;0.309;0.273;22;>10.0;0.00009;0.025;
PROGRAM-ELECTRON LIB;0033-0337;193;0.286;0.281;0.000;25;>10.0;0.00019;0.070;
ECONTENT;1525-2531;58;0.271;0.162;0.159;44;;0.00032;0.054;
LIBR TRENDS;0024-2594;386;0.239;0.605;0.154;26;6.9;0.00102;0.189;
RESTAURATOR;0034-5806;110;0.172;0.295;;;9.2;0.00015;0.073;
LIBRI;0024-2667;113;0.156;0.402;0.053;19;6.7;0.00039;0.149;
LIBR INFORM SC;0373-4447;26;0.091;1.000;0.000;5;;0.00000;0.000;
Z BIBL BIBL;0044-2380;4;0.019;0.026;0.000;23;;0.00002;0.009;
CAN J INFORM LIB SCI;1195-096X;55;0.000;0.254;;;;0.00014;0.089;

