JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;5684;5.183;11.586;0.778;36;9.7;0.01138;3.541;
J AM MED INFORM ASSN;1067-5027;2574;3.428;3.886;0.560;100;5.2;0.00890;1.068;
J INFORMETR;1751-1577;89;2.531;2.563;0.206;34;;0.00040;0.563;
ANNU REV INFORM SCI;0066-4200;477;2.500;2.954;0.846;13;6.5;0.00138;0.956;
INFORM SYST J;1350-1917;528;2.375;2.940;0.600;25;6.0;0.00132;0.711;
INFORM MANAGE-AMSTER;0378-7206;2919;2.358;4.079;0.355;62;6.2;0.00625;0.826;
J MANAGE INFORM SYST;0742-1222;2527;2.358;3.760;0.500;42;8.2;0.00437;1.027;
SCIENTOMETRICS;0138-9130;2492;2.328;2.295;0.391;128;5.6;0.00610;0.501;
INFORM SYST RES;1047-7047;2778;2.261;5.644;0.120;25;9.2;0.00545;2.363;
J HEALTH COMMUN;1081-0730;955;2.057;2.431;0.087;46;4.6;0.00579;0.998;
J INF TECHNOL;0268-3962;838;1.966;3.097;0.269;26;6.3;0.00212;0.773;
J AM SOC INF SCI TEC;1532-2882;3967;1.954;2.178;0.375;184;7.6;0.01009;0.671;
GOV INFORM Q;0740-624X;396;1.910;1.753;0.175;40;4.1;0.00088;0.266;
J COMPUT-MEDIAT COMM;1083-6101;803;1.901;;0.250;36;4.6;0.00360;;
INFORM PROCESS MANAG;0306-4573;2003;1.852;2.020;0.250;112;7.7;0.00470;0.535;
J ASSOC INF SYST;1536-9323;335;1.836;;0.074;27;4.5;0.00162;;
J DOC;0022-0418;1014;1.712;1.911;0.302;43;9.5;0.00183;0.566;
J MED LIBR ASSOC;1536-5050;538;1.669;1.705;0.304;46;3.6;0.00299;0.497;
J INF SCI;0165-5515;729;1.648;1.351;0.167;54;6.9;0.00165;0.335;
INT J GEOGR INF SCI;1365-8816;1724;1.596;2.293;0.148;61;8.5;0.00319;0.602;
J GLOB INF MANAG;1062-7375;200;1.387;;0.059;17;4.1;0.00090;;
TELECOMMUN POLICY;0308-5961;629;1.244;1.534;0.074;54;5.9;0.00182;0.399;
LIBR INFORM SCI RES;0740-8188;419;1.226;1.304;0.100;30;7.5;0.00121;0.436;
PORTAL-LIBR ACAD;1531-2542;218;1.146;1.158;0.261;23;4.2;0.00200;0.593;
ONLINE INFORM REV;1468-4527;268;1.103;0.961;0.360;50;3.4;0.00213;0.465;
INT J INFORM MANAGE;0268-4012;519;1.043;1.316;0.000;51;6.7;0.00102;0.265;
