JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BRIT J MUSIC EDUC;0265-0517;262;0.944;;0.036;28;7.9;0.00036;;
J RES READ;0141-0423;508;0.940;1.328;0.077;26;7.7;0.00124;0.566;
J SCI EDUC TECHNOL;1059-0145;722;0.940;;0.157;70;6.0;0.00184;;
HIGH EDUC;0018-1560;1699;0.937;1.295;0.052;96;8.7;0.00396;0.518;
J EDUC BEHAV STAT;1076-9986;1024;0.935;1.268;0.194;31;10.0;0.00245;1.143;
RES HIGH EDUC;0361-0365;1267;0.935;1.401;0.105;38;>10.0;0.00233;0.712;
ASIA-PAC EDUC RES;0119-5646;116;0.933;0.786;0.066;61;2.7;0.00031;0.136;
HEALTH EDUC J;0017-8969;542;0.929;1.291;0.072;69;7.5;0.00120;0.415;
J ENVIRON EDUC;0095-8964;776;0.923;;0.000;16;>10.0;0.00058;;
J EDUC TEACHING;0260-7476;352;0.922;;0.070;43;7.1;0.00060;;
J GEOGR HIGHER EDUC;0309-8265;517;0.918;1.263;0.098;41;7.2;0.00071;0.261;
ASSESS EVAL HIGH EDU;0260-2938;916;0.912;;0.069;72;7.4;0.00217;;
J EDUC RES;0022-0671;1308;0.911;1.145;0.056;36;>10.0;0.00139;0.524;
EDUC RES-UK;0013-1881;474;0.907;1.117;0.000;29;>10.0;0.00094;0.422;
TEACH COLL REC;0161-4681;1559;0.896;1.191;0.420;88;7.7;0.00545;0.701;
FOREIGN LANG ANN;0015-718X;594;0.892;0.897;0.122;41;>10.0;0.00082;0.254;
MINERVA;0026-4695;475;0.884;0.928;0.120;25;>10.0;0.00074;0.384;
ENVIRON EDUC RES;1350-4622;718;0.883;;0.068;44;7.7;0.00109;;
CRIT STUD EDUC;1750-8487;78;0.868;;0.042;24;;0.00065;;
ACAD PSYCHIATR;1042-9670;794;0.859;1.151;1.000;59;5.3;0.00148;0.257;
HIST EDUC;0046-760X;591;0.857;;0.026;39;>10.0;0.00086;;
LANG TEACH RES;1362-1688;316;0.851;1.140;0.217;23;6.9;0.00095;0.507;
INT J SUST HIGHER ED;1467-6370;277;0.824;;0.000;26;6.2;0.00054;;
J EXP EDUC;0022-0973;695;0.822;1.789;0.038;26;>10.0;0.00122;0.775;
SCH EFF SCH IMPROV;0924-3453;344;0.800;0.894;0.158;19;9.1;0.00068;0.375;
TESOL QUART;0039-8322;1386;0.792;1.158;0.026;38;>10.0;0.00156;0.564;
J TEACH PHYS EDUC;0273-5024;607;0.776;1.132;0.000;23;>10.0;0.00073;0.326;
EUR J TEACH EDUC;0261-9768;200;0.769;;0.000;29;5.7;0.00050;;
EUR PHYS EDUC REV;1356-336X;333;0.769;1.204;0.077;26;7.9;0.00057;0.336;
PHYS EDUC SPORT PEDA;1740-8989;269;0.769;;0.121;33;5.5;0.00073;;
EDUC STUD MATH;0013-1954;970;0.765;;0.074;68;>10.0;0.00122;;
IEEE T LEARN TECHNOL;1939-1382;106;0.758;0.893;0.207;29;3.0;0.00060;0.304;
ELT J;0951-0893;546;0.743;;0.186;43;>10.0;0.00067;;
RES TEACH ENGL;0034-527X;272;0.714;0.848;0.000;12;>10.0;0.00062;0.540;
INT J BILING EDUC BI;1367-0050;264;0.712;;0.088;34;5.5;0.00124;;
AM J EDUC;0195-6744;535;0.711;1.157;1.136;22;>10.0;0.00140;0.787;
